"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"43885-59318","SF","Joe","Joe Ingles","Ingles","23.651785714285715","56","4400","PHO@UTA","UTA","PHO","","","","",""
"43885-63126","SF","Cedi","Cedi Osman","Osman","20.837500435965403","56","4300","MIA@CLE","CLE","MIA","","","","",""
"43885-14501","C","Tristan","Tristan Thompson","Thompson","30.188462477463943","52","4300","MIA@CLE","CLE","MIA","","","","",""
"43885-11074","SG","Garrett","Garrett Temple","Temple","20.6860009765625","50","4300","ORL@BKN","BKN","ORL","","","","",""
"43885-60233","SG","Dillon","Dillon Brooks","Brooks","24.880358014787948","56","4300","MEM@LAC","MEM","LAC","","","","",""
"43885-9556","SF","Eric","Eric Gordon","Gordon","21.92413751010237","29","4300","NY@HOU","HOU","NY","","","","",""
"43885-66091","PF","Cheick","Cheick Diallo","Diallo","10.143589900090145","39","4200","PHO@UTA","PHO","UTA","","","","",""
"43885-15947","SG","Reggie","Reggie Bullock","Bullock","17.6454551003196","22","4200","NY@HOU","NY","HOU","","","","",""
"43885-84681","SG","Donte","Donte DiVincenzo","DiVincenzo","21.88039263556985","51","4200","MIL@WAS","MIL","WAS","","","","",""
"43885-23294","SF","Danuel","Danuel House","House","21.88199951171875","50","4200","NY@HOU","HOU","NY","","","","",""
"43885-110338","SF","De'Andre","De'Andre Hunter","Hunter","21.392591688368057","54","4200","ATL@PHI","ATL","PHI","GTD","Personal","","",""
"43885-9495","PG","J.J.","J.J. Barea","Barea","16.72222222222222","18","4200","MIN@DAL","DAL","MIN","","","","",""
"43885-23407","C","P.J.","P.J. Tucker","Tucker","21.78035627092634","56","4200","NY@HOU","HOU","NY","","","","",""
"43885-66968","SF","Derrick","Derrick Jones","Jones","19.785714285714285","42","4200","MIA@CLE","MIA","CLE","","","","",""
"43885-14523","PG","Reggie","Reggie Jackson","Jackson","25.64000040690104","15","4100","MEM@LAC","LAC","MEM","","","","",""
"43885-85597","PG","Jordan","Jordan McLaughlin","McLaughlin","18.361905052548362","21","4000","MIN@DAL","MIN","DAL","","","","",""
"43885-14510","SG","Alec","Alec Burks","Burks","28.339216643688726","51","4000","ATL@PHI","PHI","ATL","","","","",""
"43885-84690","PG","Jalen","Jalen Brunson","Brunson","16.15438575075384","57","4000","MIN@DAL","DAL","MIN","O","Shoulder","","",""
